id_lead,cargo,setor,tamanho_empresa,fonte_do_lead,tags,produto_de_interesse,valor_investimento,etapa_do_funil,tempo_na_etapa,convertido
31,Analista,Saúde,Pequena,Orgânico,Hot,Plano Pro,2500,Fechamento,35,1
32,Gerente,Manufatura,Grande,Evento,Sem tag,Plano Premium,10000,Qualificação,23,0
33,Gerente,Manufatura,Pequena,Orgânico,Sem tag,Consultoria,14070,Qualificação,24,0
34,Gerente,Finanças,Média,Anúncio,SQL,Plano Básico,500,Proposta,15,0
35,Diretor,Educação,Pequena,Indicação,Cold,Plano Básico,500,Qualificação,21,1
36,Analista,Manufatura,Pequena,Orgânico,SQL,Consultoria,7249,Qualificação,26,1
37,Gerente,Finanças,Pequena,Evento,MQL,Plano Básico,500,Contato,33,0
38,Analista,Tecnologia,Pequena,Evento,MQL,Plano Pro,2500,Qualificação,38,0
39,Analista,Educação,Pequena,Evento,Hot,Consultoria,32058,Negociação,33,1
40,Diretor,Finanças,Média,Orgânico,Hot,Plano Premium,10000,Contato,24,1
41,Gerente,Manufatura,Pequena,Anúncio,SQL,Plano Pro,2500,Fechamento,34,1
42,Analista,Educação,Grande,Orgânico,Hot,Plano Pro,2500,Negociação,54,0
43,Diretor,Saúde,Grande,Evento,Cold,Plano Premium,10000,Negociação,35,1
44,Analista,Saúde,Pequena,Anúncio,SQL,Consultoria,30862,Proposta,27,0
45,Analista,Manufatura,Pequena,Orgânico,Cold,Consultoria,43717,Qualificação,16,0
46,CEO,Varejo,Média,Orgânico,SQL,Plano Básico,500,Fechamento,28,0
47,Analista,Educação,Pequena,Orgânico,Hot,Consultoria,129075,Proposta,5,0
48,Gerente,Manufatura,Grande,Evento,Hot,Plano Premium,10000,Proposta,12,1
49,Analista,Varejo,Pequena,Evento,Hot,Plano Pro,2500,Proposta,35,0
50,Analista,Varejo,Grande,Indicação,SQL,Plano Pro,2500,Contato,36,1
51,Gerente,Finanças,Pequena,Orgânico,MQL,Plano Pro,2500,Fechamento,30,0
52,Gerente,Finanças,Média,Orgânico,SQL,Plano Premium,10000,Negociação,15,1
53,Diretor,Educação,Média,Orgânico,Cold,Plano Premium,10000,Proposta,16,1
54,Diretor,Saúde,Média,Anúncio,Hot,Consultoria,3603,Proposta,10,1
55,Analista,Tecnologia,Média,Indicação,Hot,Consultoria,13220,Negociação,19,1
56,Analista,Tecnologia,Grande,Evento,Hot,Plano Básico,500,Negociação,33,1
57,Analista,Finanças,Grande,Orgânico,Sem tag,Plano Básico,500,Contato,17,1
58,Gerente,Saúde,Pequena,Evento,MQL,Plano Básico,500,Proposta,32,0
59,Gerente,Saúde,Pequena,Indicação,SQL,Consultoria,27667,Qualificação,37,1
60,Analista,Finanças,Pequena,Orgânico,MQL,Consultoria,795,Negociação,57,0
61,Gerente,Saúde,Pequena,Anúncio,Hot,Plano Premium,10000,Negociação,44,1
62,Gerente,Manufatura,Média,Evento,Sem tag,Consultoria,69222,Contato,10,1
63,Gerente,Tecnologia,Pequena,Anúncio,Hot,Consultoria,12610,Negociação,46,0
64,Diretor,Tecnologia,Média,Anúncio,Sem tag,Plano Pro,2500,Qualificação,26,0
65,Diretor,Tecnologia,Pequena,Indicação,Sem tag,Plano Premium,10000,Qualificação,35,0
66,Analista,Manufatura,Grande,Orgânico,Hot,Plano Premium,10000,Contato,38,1
67,Gerente,Finanças,Pequena,Evento,Hot,Plano Premium,10000,Proposta,29,0
68,Gerente,Finanças,Média,Anúncio,Cold,Consultoria,2780,Negociação,46,0
69,Analista,Saúde,Pequena,Indicação,Cold,Consultoria,73384,Proposta,26,0
70,Analista,Educação,Pequena,Indicação,Cold,Plano Pro,2500,Fechamento,23,1
71,Diretor,Tecnologia,Pequena,Evento,MQL,Consultoria,19096,Proposta,21,1
72,Analista,Varejo,Média,Indicação,Hot,Plano Pro,2500,Negociação,56,1
73,Diretor,Varejo,Média,Anúncio,Cold,Consultoria,12866,Negociação,36,0
74,Analista,Varejo,Média,Indicação,Hot,Consultoria,239456,Qualificação,39,1
75,Analista,Finanças,Pequena,Anúncio,MQL,Plano Premium,10000,Contato,14,1
76,Diretor,Finanças,Pequena,Anúncio,Hot,Plano Pro,2500,Proposta,23,0
77,Diretor,Educação,Grande,Orgânico,Cold,Plano Pro,2500,Contato,19,1
78,Analista,Educação,Pequena,Indicação,Sem tag,Plano Pro,2500,Contato,36,1
79,Analista,Finanças,Grande,Anúncio,SQL,Plano Premium,10000,Negociação,37,1
80,Analista,Varejo,Pequena,Anúncio,MQL,Plano Premium,10000,Proposta,14,0
81,Analista,Saúde,Média,Orgânico,Cold,Plano Básico,500,Qualificação,33,0
82,CEO,Educação,Grande,Orgânico,Hot,Plano Básico,500,Fechamento,16,1
83,Analista,Varejo,Pequena,Indicação,MQL,Plano Básico,500,Proposta,13,0
84,Gerente,Tecnologia,Média,Anúncio,MQL,Consultoria,46304,Contato,2,0
85,Gerente,Tecnologia,Pequena,Anúncio,Sem tag,Plano Pro,2500,Qualificação,11,0
86,Analista,Finanças,Grande,Orgânico,Hot,Plano Básico,500,Negociação,35,0
87,Analista,Varejo,Média,Orgânico,MQL,Consultoria,44105,Fechamento,26,1
88,Diretor,Tecnologia,Pequena,Orgânico,Sem tag,Consultoria,19713,Proposta,14,1
89,Gerente,Manufatura,Grande,Anúncio,Hot,Plano Básico,500,Proposta,5,0
90,Analista,Finanças,Média,Anúncio,SQL,Plano Pro,2500,Proposta,22,0
91,Analista,Manufatura,Média,Indicação,Sem tag,Plano Premium,10000,Proposta,29,0
92,Analista,Varejo,Pequena,Anúncio,Cold,Plano Básico,500,Contato,1,0
93,Analista,Finanças,Média,Anúncio,SQL,Plano Pro,2500,Contato,19,0
94,Gerente,Manufatura,Média,Anúncio,SQL,Plano Pro,2500,Qualificação,17,0
95,Analista,Varejo,Pequena,Orgânico,SQL,Consultoria,43250,Qualificação,5,0
96,Analista,Finanças,Média,Orgânico,Sem tag,Plano Básico,500,Qualificação,12,0
97,Analista,Manufatura,Pequena,Anúncio,Sem tag,Consultoria,63651,Fechamento,28,0
98,Analista,Manufatura,Pequena,Orgânico,Hot,Plano Premium,10000,Proposta,35,1
99,Gerente,Finanças,Grande,Anúncio,Sem tag,Plano Premium,10000,Proposta,10,0
100,Analista,Varejo,Pequena,Orgânico,MQL,Plano Premium,10000,Contato,36,0
101,Gerente,Varejo,Pequena,Evento,Hot,Consultoria,8826,Negociação,38,1
102,Diretor,Varejo,Grande,Evento,MQL,Consultoria,8137,Qualificação,36,0
103,Analista,Saúde,Pequena,Anúncio,MQL,Consultoria,13861,Fechamento,5,0
104,Analista,Finanças,Média,Orgânico,MQL,Plano Pro,2500,Fechamento,24,0
105,Analista,Saúde,Média,Orgânico,Cold,Plano Pro,2500,Negociação,45,1
106,CEO,Tecnologia,Média,Evento,SQL,Plano Premium,10000,Fechamento,11,1
107,Analista,Varejo,Pequena,Orgânico,MQL,Plano Pro,2500,Proposta,2,0
108,Analista,Manufatura,Média,Evento,Cold,Plano Premium,10000,Fechamento,19,0
109,Gerente,Manufatura,Pequena,Evento,Hot,Plano Premium,10000,Negociação,37,0
110,Analista,Saúde,Pequena,Indicação,MQL,Consultoria,19945,Negociação,50,0
111,Gerente,Tecnologia,Média,Evento,MQL,Plano Básico,500,Fechamento,1,0
112,Diretor,Manufatura,Média,Orgânico,Hot,Plano Premium,10000,Negociação,53,1
113,Analista,Educação,Grande,Anúncio,SQL,Plano Básico,500,Negociação,20,0
114,Analista,Manufatura,Média,Anúncio,MQL,Plano Premium,10000,Contato,18,0
115,Analista,Saúde,Média,Orgânico,MQL,Plano Básico,500,Proposta,23,0
116,Diretor,Varejo,Pequena,Evento,Sem tag,Plano Premium,10000,Qualificação,33,1
117,Gerente,Saúde,Pequena,Orgânico,Cold,Plano Básico,500,Contato,20,0
118,Diretor,Saúde,Pequena,Orgânico,SQL,Plano Premium,10000,Proposta,4,0
119,Analista,Finanças,Pequena,Anúncio,SQL,Plano Básico,500,Fechamento,34,1
120,Analista,Tecnologia,Pequena,Indicação,SQL,Consultoria,26455,Contato,5,0
121,Analista,Manufatura,Média,Indicação,Hot,Plano Pro,2500,Negociação,26,1
122,CEO,Tecnologia,Grande,Orgânico,SQL,Consultoria,38703,Fechamento,4,1
123,Gerente,Saúde,Média,Evento,SQL,Consultoria,5134,Contato,5,1
124,Analista,Finanças,Média,Orgânico,Hot,Plano Básico,500,Negociação,22,1
125,Gerente,Educação,Média,Orgânico,Sem tag,Plano Premium,10000,Qualificação,10,0
126,Gerente,Manufatura,Pequena,Orgânico,Cold,Plano Básico,500,Qualificação,23,0
127,Gerente,Manufatura,Média,Anúncio,SQL,Plano Pro,2500,Negociação,56,1
128,Gerente,Varejo,Pequena,Orgânico,MQL,Plano Pro,2500,Fechamento,21,1
129,Analista,Tecnologia,Pequena,Orgânico,SQL,Plano Básico,500,Qualificação,2,1
130,Analista,Varejo,Pequena,Orgânico,Sem tag,Plano Premium,10000,Proposta,36,0
131,Analista,Manufatura,Grande,Orgânico,Hot,Consultoria,1604,Proposta,32,1
132,Analista,Educação,Média,Anúncio,MQL,Plano Pro,2500,Contato,13,1
133,Diretor,Educação,Média,Indicação,MQL,Consultoria,282516,Negociação,26,1
134,Analista,Finanças,Pequena,Indicação,Hot,Plano Básico,500,Negociação,21,1
135,Gerente,Finanças,Grande,Anúncio,MQL,Consultoria,6877,Fechamento,19,0
136,CEO,Tecnologia,Média,Anúncio,Hot,Plano Básico,500,Contato,19,1
137,Diretor,Educação,Média,Anúncio,Hot,Plano Premium,10000,Qualificação,30,0
138,Analista,Educação,Pequena,Orgânico,SQL,Plano Premium,10000,Qualificação,34,0
139,Gerente,Tecnologia,Média,Anúncio,Hot,Consultoria,4167,Proposta,7,0
140,Analista,Tecnologia,Pequena,Orgânico,Cold,Plano Pro,2500,Fechamento,33,1
141,Diretor,Manufatura,Grande,Orgânico,MQL,Plano Premium,10000,Negociação,45,1
142,Analista,Educação,Média,Anúncio,Sem tag,Consultoria,7801,Fechamento,21,0
143,Analista,Finanças,Média,Orgânico,MQL,Consultoria,22928,Contato,4,0
144,Analista,Manufatura,Pequena,Orgânico,Sem tag,Consultoria,4646,Fechamento,3,1
145,Gerente,Saúde,Pequena,Anúncio,Cold,Plano Básico,500,Negociação,38,0
146,Diretor,Varejo,Grande,Anúncio,MQL,Plano Premium,10000,Negociação,25,1
147,Gerente,Educação,Média,Evento,SQL,Consultoria,18948,Fechamento,6,1
148,Diretor,Saúde,Pequena,Orgânico,Hot,Plano Pro,2500,Qualificação,24,1
149,Analista,Tecnologia,Pequena,Orgânico,SQL,Plano Pro,2500,Fechamento,3,0
150,Analista,Educação,Média,Orgânico,MQL,Plano Premium,10000,Qualificação,30,0
151,Analista,Educação,Pequena,Indicação,SQL,Consultoria,63979,Contato,22,1
152,Analista,Educação,Grande,Indicação,SQL,Consultoria,18473,Qualificação,34,1
153,Analista,Tecnologia,Média,Evento,Cold,Plano Básico,500,Negociação,54,0
154,Gerente,Educação,Grande,Orgânico,Hot,Plano Básico,500,Qualificação,30,1
155,Analista,Saúde,Pequena,Orgânico,Hot,Consultoria,14739,Qualificação,31,0
156,Analista,Varejo,Pequena,Orgânico,Cold,Plano Básico,500,Contato,26,0
157,Gerente,Tecnologia,Pequena,Evento,Cold,Plano Pro,2500,Fechamento,31,0
158,Analista,Finanças,Pequena,Evento,MQL,Consultoria,13972,Negociação,18,0
159,Analista,Tecnologia,Grande,Evento,Sem tag,Plano Básico,500,Fechamento,7,0
160,Gerente,Saúde,Pequena,Anúncio,Sem tag,Plano Básico,500,Qualificação,18,0
161,Analista,Varejo,Média,Orgânico,Cold,Consultoria,33572,Proposta,17,0
162,Gerente,Finanças,Pequena,Indicação,Cold,Plano Premium,10000,Fechamento,34,1
163,Gerente,Finanças,Pequena,Evento,MQL,Plano Pro,2500,Qualificação,37,0
164,Analista,Saúde,Grande,Indicação,Sem tag,Consultoria,41063,Contato,16,1
165,Diretor,Varejo,Grande,Orgânico,Hot,Plano Premium,10000,Contato,4,1
166,Gerente,Tecnologia,Pequena,Orgânico,Sem tag,Plano Pro,2500,Proposta,23,0
167,CEO,Finanças,Pequena,Orgânico,Cold,Consultoria,88895,Negociação,53,0
168,Analista,Finanças,Pequena,Orgânico,MQL,Consultoria,490,Qualificação,27,0
169,Analista,Saúde,Pequena,Orgânico,MQL,Plano Pro,2500,Negociação,26,0
170,Analista,Varejo,Pequena,Indicação,Cold,Plano Pro,2500,Qualificação,10,0
171,CEO,Tecnologia,Média,Orgânico,SQL,Plano Pro,2500,Proposta,12,0
172,Analista,Saúde,Grande,Orgânico,SQL,Consultoria,7370,Fechamento,34,1
173,Analista,Educação,Média,Indicação,MQL,Consultoria,10438,Contato,30,0
174,Gerente,Saúde,Média,Orgânico,Cold,Consultoria,8783,Proposta,18,0
175,Analista,Tecnologia,Média,Orgânico,Sem tag,Consultoria,423052,Contato,7,1
176,Diretor,Finanças,Pequena,Indicação,SQL,Plano Premium,10000,Proposta,31,0
177,Analista,Tecnologia,Média,Indicação,SQL,Plano Pro,2500,Negociação,54,0
178,Gerente,Varejo,Média,Orgânico,SQL,Plano Básico,500,Fechamento,21,0
179,Analista,Saúde,Média,Orgânico,SQL,Plano Pro,2500,Negociação,30,0
180,Analista,Manufatura,Média,Anúncio,MQL,Plano Premium,10000,Proposta,24,0
181,Analista,Varejo,Média,Anúncio,Sem tag,Plano Pro,2500,Negociação,28,0
182,Gerente,Manufatura,Pequena,Evento,SQL,Plano Básico,500,Proposta,36,0
183,Gerente,Tecnologia,Grande,Anúncio,Hot,Consultoria,113835,Negociação,42,0
184,Diretor,Varejo,Grande,Indicação,Sem tag,Plano Básico,500,Negociação,51,1
185,Analista,Finanças,Pequena,Indicação,SQL,Consultoria,46876,Contato,18,0
186,Analista,Varejo,Pequena,Orgânico,SQL,Plano Básico,500,Fechamento,16,0
187,Analista,Tecnologia,Média,Indicação,Cold,Plano Pro,2500,Fechamento,35,1
188,Analista,Varejo,Média,Evento,MQL,Plano Básico,500,Contato,37,0
189,Diretor,Educação,Pequena,Indicação,Cold,Consultoria,28635,Proposta,13,1
190,CEO,Saúde,Grande,Orgânico,Hot,Plano Premium,10000,Contato,14,1
191,Gerente,Tecnologia,Pequena,Orgânico,SQL,Plano Premium,10000,Proposta,5,0
192,Diretor,Manufatura,Média,Orgânico,Hot,Plano Pro,2500,Qualificação,30,1
193,Gerente,Varejo,Grande,Anúncio,Sem tag,Consultoria,4397,Proposta,38,0
194,Gerente,Saúde,Pequena,Indicação,Cold,Plano Pro,2500,Proposta,20,0
195,CEO,Saúde,Pequena,Anúncio,Cold,Plano Premium,10000,Contato,37,1
196,Analista,Tecnologia,Média,Orgânico,SQL,Plano Pro,2500,Negociação,49,0
197,Analista,Manufatura,Pequena,Anúncio,Cold,Consultoria,24281,Contato,25,0
198,Analista,Educação,Média,Orgânico,Hot,Plano Premium,10000,Contato,2,0
199,Analista,Varejo,Grande,Indicação,MQL,Plano Básico,500,Negociação,49,0
200,Gerente,Tecnologia,Pequena,Orgânico,SQL,Plano Pro,2500,Fechamento,5,0
201,CEO,Finanças,Média,Indicação,Hot,Consultoria,1434,Proposta,36,1
202,Gerente,Finanças,Média,Orgânico,Cold,Consultoria,27422,Proposta,17,0
203,Gerente,Varejo,Pequena,Indicação,SQL,Consultoria,1696,Contato,5,0
204,Gerente,Manufatura,Pequena,Indicação,Hot,Plano Básico,500,Contato,24,0
205,CEO,Finanças,Grande,Indicação,MQL,Plano Pro,2500,Qualificação,5,1
206,Analista,Saúde,Média,Orgânico,SQL,Plano Premium,10000,Negociação,28,0
207,Analista,Saúde,Média,Indicação,Cold,Plano Premium,10000,Proposta,27,0
208,Analista,Saúde,Grande,Orgânico,Cold,Plano Básico,500,Qualificação,25,0
209,Analista,Tecnologia,Grande,Anúncio,Hot,Plano Pro,2500,Proposta,18,0
210,Analista,Manufatura,Pequena,Indicação,MQL,Consultoria,9753,Fechamento,1,0
211,Gerente,Finanças,Grande,Anúncio,Hot,Consultoria,96873,Negociação,20,1
212,Gerente,Educação,Média,Anúncio,SQL,Plano Premium,10000,Contato,19,0
213,Diretor,Tecnologia,Média,Anúncio,Sem tag,Consultoria,365154,Fechamento,14,1
214,Diretor,Manufatura,Média,Anúncio,Cold,Plano Básico,500,Contato,33,0
215,Analista,Tecnologia,Pequena,Orgânico,MQL,Plano Premium,10000,Proposta,39,0
216,Analista,Manufatura,Média,Orgânico,SQL,Plano Básico,500,Proposta,38,1
217,Gerente,Saúde,Média,Orgânico,MQL,Plano Básico,500,Contato,17,0
218,Analista,Tecnologia,Pequena,Anúncio,Sem tag,Plano Básico,500,Proposta,34,0
219,Analista,Manufatura,Média,Anúncio,Hot,Plano Premium,10000,Proposta,28,0
220,Diretor,Educação,Média,Anúncio,Cold,Plano Pro,2500,Qualificação,35,0
221,Analista,Finanças,Pequena,Anúncio,SQL,Consultoria,20510,Contato,8,1
222,CEO,Manufatura,Pequena,Evento,MQL,Consultoria,19648,Proposta,27,0
223,Gerente,Educação,Média,Orgânico,Sem tag,Plano Básico,500,Fechamento,4,0
224,Gerente,Varejo,Média,Orgânico,MQL,Consultoria,24830,Qualificação,38,0
225,Gerente,Varejo,Pequena,Anúncio,Cold,Consultoria,13418,Fechamento,26,0
226,Gerente,Manufatura,Média,Orgânico,SQL,Plano Pro,2500,Proposta,39,1
227,Gerente,Educação,Média,Indicação,Sem tag,Plano Premium,10000,Fechamento,34,1
228,Diretor,Varejo,Grande,Anúncio,SQL,Plano Pro,2500,Negociação,45,1
229,Diretor,Saúde,Pequena,Anúncio,MQL,Consultoria,5142,Proposta,6,0
230,Gerente,Varejo,Pequena,Evento,Sem tag,Consultoria,15646,Negociação,52,1
231,Analista,Manufatura,Média,Orgânico,Cold,Consultoria,98521,Negociação,34,0
232,Diretor,Varejo,Média,Anúncio,Hot,Consultoria,409669,Negociação,52,1
233,CEO,Finanças,Pequena,Orgânico,MQL,Plano Básico,500,Qualificação,30,1
234,Analista,Educação,Média,Anúncio,Hot,Plano Básico,500,Fechamento,12,0
235,Analista,Saúde,Pequena,Anúncio,MQL,Plano Básico,500,Qualificação,8,0
236,Analista,Varejo,Média,Anúncio,MQL,Consultoria,18994,Fechamento,25,0
237,Diretor,Saúde,Pequena,Orgânico,MQL,Plano Pro,2500,Contato,22,0
238,Analista,Saúde,Média,Anúncio,Cold,Plano Premium,10000,Negociação,17,0
239,Analista,Saúde,Grande,Indicação,Hot,Plano Básico,500,Proposta,18,1
240,Analista,Tecnologia,Média,Indicação,Hot,Plano Premium,10000,Proposta,27,0
241,Diretor,Saúde,Pequena,Orgânico,Hot,Plano Pro,2500,Qualificação,10,0
242,Analista,Finanças,Pequena,Evento,MQL,Plano Básico,500,Fechamento,11,0
243,Gerente,Finanças,Pequena,Evento,MQL,Plano Pro,2500,Contato,10,0
244,Analista,Educação,Pequena,Evento,MQL,Consultoria,5955,Contato,28,0
245,Diretor,Finanças,Pequena,Orgânico,Sem tag,Plano Premium,10000,Fechamento,12,0
246,Analista,Varejo,Média,Orgânico,Hot,Plano Básico,500,Contato,5,1
247,Gerente,Finanças,Pequena,Evento,SQL,Consultoria,5437,Qualificação,10,1
248,Diretor,Manufatura,Pequena,Orgânico,Sem tag,Plano Pro,2500,Fechamento,18,0
249,Gerente,Tecnologia,Pequena,Anúncio,Cold,Plano Básico,500,Negociação,47,0
250,Diretor,Finanças,Grande,Indicação,MQL,Plano Básico,500,Contato,21,0
251,CEO,Tecnologia,Pequena,Orgânico,Cold,Plano Premium,10000,Negociação,26,0
252,Diretor,Manufatura,Grande,Orgânico,SQL,Plano Básico,500,Contato,22,0
253,Diretor,Finanças,Média,Evento,Sem tag,Plano Pro,2500,Qualificação,20,0
254,Analista,Tecnologia,Pequena,Evento,Hot,Plano Básico,500,Negociação,40,1
255,Diretor,Manufatura,Média,Anúncio,Cold,Plano Básico,500,Contato,39,1
256,Analista,Tecnologia,Grande,Anúncio,Hot,Plano Básico,500,Fechamento,13,1
257,Analista,Manufatura,Média,Orgânico,Hot,Plano Pro,2500,Proposta,18,0
258,Gerente,Educação,Média,Anúncio,SQL,Consultoria,100,Negociação,49,0
259,Analista,Saúde,Pequena,Orgânico,MQL,Plano Premium,10000,Fechamento,20,0
260,CEO,Manufatura,Pequena,Indicação,MQL,Plano Pro,2500,Proposta,22,1
261,Analista,Tecnologia,Média,Orgânico,Sem tag,Plano Básico,500,Negociação,20,0
262,Gerente,Varejo,Pequena,Orgânico,Hot,Consultoria,8970,Fechamento,17,1
263,Analista,Finanças,Pequena,Evento,Sem tag,Plano Premium,10000,Proposta,12,0
264,Analista,Tecnologia,Grande,Orgânico,SQL,Plano Premium,10000,Contato,11,1
265,Analista,Manufatura,Média,Evento,Cold,Plano Básico,500,Contato,22,0
266,Diretor,Varejo,Pequena,Orgânico,Cold,Consultoria,771,Negociação,22,0
267,Analista,Educação,Média,Orgânico,Sem tag,Plano Premium,10000,Proposta,5,0
268,Analista,Educação,Média,Orgânico,Cold,Plano Premium,10000,Fechamento,11,1
269,Diretor,Varejo,Pequena,Anúncio,Sem tag,Consultoria,25784,Qualificação,26,1
270,Analista,Saúde,Média,Evento,Sem tag,Plano Básico,500,Proposta,32,0
271,Gerente,Manufatura,Grande,Orgânico,Sem tag,Plano Básico,500,Contato,5,0
272,Gerente,Manufatura,Pequena,Orgânico,Hot,Consultoria,34341,Qualificação,32,0
273,Diretor,Manufatura,Média,Evento,Cold,Plano Pro,2500,Fechamento,4,0
274,Analista,Educação,Média,Anúncio,Hot,Plano Básico,500,Contato,9,1
275,Gerente,Tecnologia,Grande,Orgânico,SQL,Plano Pro,2500,Fechamento,26,1
276,Analista,Saúde,Grande,Anúncio,Sem tag,Plano Pro,2500,Fechamento,35,0
277,Gerente,Finanças,Média,Evento,SQL,Consultoria,451,Negociação,42,0
278,CEO,Finanças,Média,Evento,SQL,Consultoria,174431,Fechamento,27,1
279,Analista,Educação,Média,Orgânico,Sem tag,Plano Pro,2500,Proposta,26,0
280,Diretor,Saúde,Grande,Anúncio,Cold,Plano Básico,500,Fechamento,33,0
281,Analista,Finanças,Pequena,Indicação,Sem tag,Plano Básico,500,Contato,16,0
282,Analista,Varejo,Pequena,Orgânico,Cold,Plano Básico,500,Negociação,33,0
283,Gerente,Tecnologia,Grande,Anúncio,Cold,Plano Básico,500,Proposta,4,0
284,Gerente,Finanças,Pequena,Evento,SQL,Plano Premium,10000,Qualificação,18,0
285,Analista,Tecnologia,Grande,Orgânico,Sem tag,Plano Pro,2500,Negociação,56,0
286,Gerente,Varejo,Pequena,Orgânico,SQL,Plano Pro,2500,Proposta,7,1
287,Analista,Tecnologia,Pequena,Evento,Sem tag,Consultoria,11868,Negociação,15,0
288,CEO,Varejo,Pequena,Orgânico,Cold,Plano Pro,2500,Proposta,7,1
289,CEO,Tecnologia,Média,Orgânico,SQL,Consultoria,334900,Fechamento,15,1
290,Gerente,Saúde,Pequena,Orgânico,MQL,Plano Premium,10000,Fechamento,31,0
291,Analista,Manufatura,Grande,Anúncio,Hot,Consultoria,25900,Fechamento,36,0
292,Gerente,Tecnologia,Pequena,Anúncio,Hot,Plano Pro,2500,Qualificação,33,1
293,Analista,Educação,Pequena,Orgânico,Cold,Plano Pro,2500,Proposta,27,0
294,CEO,Tecnologia,Pequena,Anúncio,Cold,Plano Premium,10000,Fechamento,39,0
295,Analista,Tecnologia,Pequena,Indicação,Sem tag,Plano Pro,2500,Fechamento,37,1
296,Gerente,Educação,Pequena,Orgânico,SQL,Consultoria,53257,Proposta,26,0
297,Analista,Finanças,Média,Indicação,SQL,Plano Premium,10000,Fechamento,30,1
298,Gerente,Manufatura,Grande,Orgânico,SQL,Consultoria,9215,Proposta,29,0
299,Analista,Manufatura,Pequena,Orgânico,Hot,Plano Básico,500,Fechamento,1,1
300,Analista,Tecnologia,Pequena,Orgânico,MQL,Plano Básico,500,Qualificação,23,0
301,Gerente,Finanças,Média,Orgânico,MQL,Plano Pro,2500,Negociação,37,0
302,Analista,Saúde,Média,Orgânico,Cold,Consultoria,4858,Proposta,14,0
303,Analista,Manufatura,Grande,Orgânico,SQL,Plano Premium,10000,Proposta,7,1
304,Gerente,Saúde,Pequena,Orgânico,MQL,Plano Básico,500,Qualificação,29,0
305,Diretor,Saúde,Pequena,Anúncio,Cold,Plano Básico,500,Contato,22,0
306,Diretor,Manufatura,Grande,Evento,Cold,Plano Básico,500,Qualificação,3,1
307,Analista,Varejo,Média,Anúncio,SQL,Plano Pro,2500,Contato,4,0
308,Diretor,Saúde,Pequena,Indicação,SQL,Plano Básico,500,Fechamento,6,1
309,Gerente,Varejo,Pequena,Evento,MQL,Consultoria,14885,Proposta,31,0
310,Diretor,Tecnologia,Média,Orgânico,Cold,Plano Básico,500,Negociação,55,1
311,Gerente,Varejo,Grande,Orgânico,Cold,Plano Pro,2500,Fechamento,32,0
312,Gerente,Saúde,Média,Anúncio,Sem tag,Plano Básico,500,Contato,29,0
